feature_name,direction,recommended_threshold,quantile_used,all_mean,all_median,good_mean,good_median
fg_prob_mean,min,0.9604,0.1,0.9708121445583531,0.9739789366722107,0.972949326311924,0.9744592010974884
prob_max,min,0.9999,0.1,0.9993932804066583,0.9999957084655762,0.9999616927191711,0.9999961853027344
largest_component_area,min,4236,0.1,26960.72891566265,14811.5,27732.750809935205,15101.0
pred_positive_fraction,min,0.0129,0.1,0.07628284044640375,0.04126053071990671,0.07824354906237274,0.042207272361091466
pred_positive_fraction,max,0.2022,0.9,0.07628284044640375,0.04126053071990671,0.07824354906237274,0.042207272361091466
largest_component_ratio,min,1.0,0.1,0.9933480672260452,1.0,0.9971668292813642,1.0
num_components,max,1,0.9,1.0336345381526104,1.0,1.0202483801295896,1.0
high_conf_fraction_0p9,min,0.0116,0.1,0.07156881349716028,0.03819900507803208,0.07367856273075071,0.039315965291495586
